clean_questions,clean_answer,questions,answers
ayah pergi washington dc,someday the bomb is going to be for real,"ayah saya pergi ke Washington, DC",someday the bomb is going to be for real.
,why did he do that,kenapa dia melakukan itu?,why did he do that?
diundang 90 veteran,he was invited along with about 90 other veterans,"dia diundang, bersama dengan sekitar 90 veteran lainnya.","he was invited, along with about 90 other veterans."
mengundang,who invited them,siapa yang mengundang mereka?,who invited them?
organisasi swasta,some private organization,beberapa organisasi swasta.,some private organization.
mengundangnya,why did they invite him,mengapa mereka mengundangnya?,why did they invite him?
berterima kasih prajurit bertugas perang dunia ii,to thank him and all the other soldiers who served in world war ii,untuk berterima kasih padanya dan semua prajurit lain yang bertugas di perang dunia ii.,to thank him and all the other soldiers who served in world war ii.
bagus,thats very nice,itu sangat bagus.,that's very nice.
ayah monumen perang dunia ii indah,my dad got to see the beautiful new world war ii monument,ayah saya harus melihat monumen perang dunia II yang indah.,my dad got to see the beautiful new world war ii monument.
perjalanan menghabiskan uang,that trip must have cost a lot of money,perjalanan itu pasti menghabiskan banyak uang. ,that trip must have cost a lot of money. 
perjalanan washington dc,he said all the money came from private donations,"itu perjalanan yang luar biasa ke Washington, DC",he said all the money came from private donations.
ceritakan ayah,tell me about it dad,"ceritakan tentang itu, ayah.","tell me about it, dad."
90 veteran perang dunia ii pesawat jam 8 pagi,about 90 of us world war ii veterans got on the plane at 8 am,sekitar 90 dari kami veteran perang dunia II naik pesawat pada jam 8 pagi,about 90 of us world war ii veterans got on the plane at 8 a.m.
penerbangannya,how long was the flight,berapa lama penerbangannya?,how long was the flight?
butuh jam,it only took about two hours,hanya butuh waktu sekitar dua jam.,it only took about two hours.
berfoto monumen perang dunia ii,did you take pictures at the world war ii monument,apakah kamu berfoto di monumen perang dunia ii?,did you take pictures at the world war ii monument?
oh ya mengambil foto,oh yes we all took lots of pictures,Oh ya. kami semua mengambil banyak foto.,"oh, yes. we all took lots of pictures."
terbang pulang malam,then you flew back home that evening,lalu kamu terbang pulang malam itu?,then you flew back home that evening?
iya mendarat reporter tv band tentara,yes when we landed tv reporters and the army band were there,"Iya. ketika kami mendarat, reporter tv dan band tentara ada di sana.","yes. when we landed, tv reporters and the army band were there."
istimewa,that must have made you feel really special,yang pasti membuat Anda merasa sangat istimewa.,that must have made you feel really special.
oh 300 orang menghormati,oh it did there were about 300 people there to honor us,"oh, benar. ada sekitar 300 orang di sana untuk menghormati kami.","oh, it did. there were about 300 people there to honor us."
butuh pekerjaan,well you all deserve it you helped save our country,saya butuh pekerjaan.,"well, you all deserve it. you helped save our country."
pikir pekerjaan,i thought you had a job,saya pikir Anda punya pekerjaan.,i thought you had a job.
melakukannya,i did,aku melakukannya.,i did.
,what happened,apa yang terjadi?,what happened?
diphk,i got laid off,saya di-PHK.,i got laid off.
buruk,thats terrible when did it happen,itu buruk! kapan itu terjadi?,that's terrible! when did it happen?
diphk minggu,i got laid off last week,saya di-PHK minggu lalu.,i got laid off last week.
,just you,hanya kamu?,just you?
sepuluh rekan kerja diphk,no ten of my coworkers got laid off too,"tidak, sepuluh rekan kerja saya di-PHK juga.","no, ten of my coworkers got laid off, too."
lakukan,what are you going to do,apa yang akan kamu lakukan?,what are you going to do?
mencari pekerjaan koran,im looking in the newspaper for a job,Saya mencari pekerjaan di koran.,i'm looking in the newspaper for a job.
pergi wawancara periksa,good luck,"sebelum Anda pergi ke wawancara itu, periksa diri Anda sendiri.",good luck!
diperiksa,whats to check,apa yang harus diperiksa?,what's to check?
kuku bersih,are your nails clean,apakah kuku kamu bersih?,are your nails clean?
ya,yes they are,ya begitulah.,"yes, they are."
memeriksa ulang hidung gigi,did you doublecheck your nose and teeth,apakah Anda memeriksa ulang hidung dan gigi Anda?,did you double-check your nose and teeth?
bersih,they are clean too,mereka juga bersih.,"they are clean, too."
menyemir sepatumu,did you shine your shoes,apakah kamu menyemir sepatumu?,did you shine your shoes?
sepatuku bersinar,my shoes are shined,sepatuku bersinar.,my shoes are shined.
kaus kakimu cocok,do your socks match,apakah kaus kakimu cocok?,do your socks match?
cocok,of course they match,tentu saja mereka cocok.,of course they match.
hitam biru tua,no they dont one is black and one is dark blue,"tidak, mereka tidak. satu hitam dan satu biru tua.","no, they don't. one is black and one is dark blue."
hidup sulit,yikes thank you,Hidup itu sulit.,yikes! thank you.
,it sure is,pastilah itu.,it sure is.
pikir sekolah sulit,i thought school was hard,saya pikir sekolah itu sulit.,i thought school was hard.
sabar lulus,me too i couldnt wait to graduate,saya juga. saya tidak sabar untuk lulus.,"me, too. i couldn't wait to graduate."
kerja keras,but now work is hard too,tapi sekarang kerja keras juga.,"but now work is hard, too."
setuju kerja kerasnya sekolah,i agree work is just as hard as school,saya setuju. kerja sama kerasnya dengan sekolah.,i agree. work is just as hard as school.
terkadang berharap sekolah,sometimes i wish i was back in school,terkadang saya berharap saya kembali ke sekolah.,sometimes i wish i was back in school.
sekolah menyenangkan,me too school was fun,saya juga. sekolah itu menyenangkan.,"me, too. school was fun."
12,and it was only 12 years,dan itu hanya 12 tahun.,and it was only 12 years.
berjalan cepat,it went by pretty fast,itu berjalan cukup cepat.,it went by pretty fast.
pekerjaan,but work goes on forever,tapi pekerjaan berlangsung selamanya!,but work goes on forever!
mengantuk,we have to work for 30 years,saya mengantuk.,we have to work for 30 years!
,so am i,aku juga.,so am i.
mengalami,i had a long day,saya mengalami hari yang panjang.,i had a long day.
,so did i,Begitu juga aku.,so did i.
makan siang,i didnt even have lunch,saya bahkan tidak makan siang.,i didn't even have lunch.
,neither did i,saya juga tidak.,neither did i.
sibuk,i was busy the whole day,saya sibuk sepanjang hari.,i was busy the whole day.
,so was i,begitu juga saya.,so was i.
membawa pulang pekerjaan,i had to bring work home with me,saya harus membawa pulang pekerjaan.,i had to bring work home with me.
,i did too,aku juga.,i did too.
harimu ku,your day was just like mine,harimu sama seperti hari ku.,your day was just like mine.
suka pekerjaan,of course it was we work together,saya tidak suka pekerjaan saya.,of course it was. we work together!
kerjakan,what do you do,Apa yang kamu kerjakan?,what do you do?
babysitter,im a babysitter,Saya seorang babysitter.,i'm a babysitter.
pekerjaan,is that a lot of work,apakah itu banyak pekerjaan?,is that a lot of work?
bayi menangis,babies cry all the time,bayi menangis sepanjang waktu.,babies cry all the time.
mengganti popok,you have to change their diapers,Anda harus mengganti popok mereka.,you have to change their diapers.
makan,i have to feed them,saya harus memberi mereka makan.,i have to feed them.
mencari pekerjaan,are you looking for another job,apakah kamu sedang mencari pekerjaan lain,are you looking for another job?
mencari keluarga,no im looking for another family,"tidak, saya sedang mencari keluarga lain.","no, i'm looking for another family."
keluarga,another family,keluarga lain?,another family?
keluarga bayi,a family with only one baby,sebuah keluarga dengan hanya satu bayi.,a family with only one baby.
butuh pekerjaan,thats a good idea,saya butuh pekerjaan.,that's a good idea.
pekerjaan terakhirmu,what was your last job,apa pekerjaan terakhirmu?,what was your last job?
pelukis,i was a painter,saya adalah seorang pelukis.,i was a painter.
,what happened,apa yang terjadi?,what happened?
diphk pekerjaan,i got laid off because there was no work,saya di-PHK karena tidak ada pekerjaan.,i got laid off because there was no work.
lakukan,what else can you do,apa lagi yang bisa kamu lakukan?,what else can you do?
tukang,im a handyman,saya seorang tukang.,i'm a handyman.
memperbaiki keran menetes wastafel dapur,can you fix a dripping faucet in a kitchen sink,bisakah Anda memperbaiki keran yang menetes di wastafel dapur?,can you fix a dripping faucet in a kitchen sink?
,of course,tentu saja.,of course.
pekerjaan dapur,then i have a job for you in my kitchen,maka saya punya pekerjaan untuk Anda di dapur saya.,then i have a job for you in my kitchen.
biayanya 20 plus suku cadang,it will cost you only 20 plus parts,biayanya hanya $ 20 plus suku cadang.,it will cost you only $20 plus parts.
lakukan kehilangan pekerjaan,okay that sounds like a fair price,apa yang akan kamu lakukan jika kehilangan pekerjaan?,okay. that sounds like a fair price.
ide 20,i have no idea ive been here for 20 years,Saya tidak punya ide. Saya sudah di sini selama 20 tahun.,i have no idea. i've been here for 20 years.
keahlian,do you have any other skills,apakah kamu punya keahlian lain?,do you have any other skills?
membalikkan hamburger,well i know how to flip hamburgers,"Nah, saya tahu cara membalikkan hamburger.","well, i know how to flip hamburgers."
mempekerjakan membalikkan hamburger,no one would hire you to flip hamburgers,tidak ada yang akan mempekerjakan Anda untuk membalikkan hamburger.,no one would hire you to flip hamburgers.
pernahkah mendengar ceritakan,have you heard something that youre not telling me,Pernahkah Anda mendengar sesuatu yang tidak Anda ceritakan kepada saya?,have you heard something that you're not telling me?
maksudmu,what do you mean,apa maksudmu?,what do you mean?
phk,are there going to be layoffs at this place,apakah akan ada PHK di tempat ini?,are there going to be layoffs at this place?
harap,i certainly hope not,Saya harap tidak!,i certainly hope not!
diphk membalik hamburger,if you got laid off youd be flipping hamburgers too,"jika Anda di-PHK, Anda juga akan membalik hamburger.","if you got laid off, you'd be flipping hamburgers, too."
oh bagus berdua burger king,oh great we could both work at burger king,"oh bagus, kita berdua bisa bekerja di burger king.","oh great, we could both work at burger king."
siswa berbicara pekerjaan,maybe wed get laid off there too,apakah siswa Anda pernah berbicara tentang pekerjaan mereka?,"maybe we'd get laid off there, too."
ya pekerjaan terbaik,yes and they ask me what jobs are the best,"ya, dan mereka bertanya kepada saya pekerjaan apa yang terbaik.","yes, and they ask me what jobs are the best."
memberitahu muridmurid guru,i tell my students to become a teacher,saya memberitahu murid-murid saya untuk menjadi seorang guru.,i tell my students to become a teacher.
mengajar pekerjaan bagus,teaching is a great job,mengajar adalah pekerjaan yang bagus.,teaching is a great job.
pekerjaan terbaik miliki,its the best job ive ever had,itu pekerjaan terbaik yang pernah saya miliki.,it's the best job i've ever had.
membuatnya bagus,what makes it so good,Apa yang membuatnya begitu bagus?,what makes it so good?
siswa,for me its the students,"bagi saya, itu para siswa.","for me, it's the students."
maksudmu,what do you mean,apa maksudmu?,what do you mean?
maksud memiliki siswa,i mean i have wonderful students,"Maksud saya, saya memiliki siswa yang luar biasa.",i mean i have wonderful students.
bagus,that must be nice,itu pasti bagus.,that must be nice.
mengajar terbaik,teaching is the best part of my whole day,mengajar adalah bagian terbaik dari seluruh hari saya.,teaching is the best part of my whole day.
nak senang pekerjaan selesai,youre a lucky man to have a job you love,"Nak, saya senang pekerjaan itu selesai.",you're a lucky man to have a job you love.
dibutuhkan,how long did it take,berapa lama waktu yang dibutuhkan?,how long did it take?
jam istirahat,four hours without a break,"empat jam, tanpa istirahat.","four hours, without a break."
menyenangkan menyelesaikan pekerjaan,its always nice to finish a job,selalu menyenangkan menyelesaikan pekerjaan.,it's always nice to finish a job.
buruk,well its good and bad,"baik, itu baik dan buruk.","well, it's good and bad."
buruk,whats bad about it,apa yang buruk tentang itu?,what's bad about it?
selesai lakukan pekerjaan,when you finish all you do is start another job,"setelah Anda selesai, yang Anda lakukan hanyalah memulai pekerjaan lain!","when you finish, all you do is start another job!"
ya membosankan,yes thats right it does get boring,ya itu betul. itu membosankan.,"yes, that's right. it does get boring."
pekerjaan berulangulang,especially if its the same work over and over,"terutama jika itu pekerjaan yang sama, berulang-ulang.","especially if it's the same work, over and over."
kebanyakan orang,but thats what most people do,tapi itulah yang dilakukan kebanyakan orang.,but that's what most people do.
ya kebanyakan terjebak rutinitas,yes i guess most of us are stuck in a routine,"ya, saya rasa kebanyakan dari kita terjebak dalam rutinitas.","yes, i guess most of us are stuck in a routine."
pikir memiliki bos terburuk dunia,i wonder if there is any job that you dont repeat over and over,Saya pikir saya memiliki bos terburuk di dunia.,i wonder if there is any job that you don't repeat over and over.
membuatnya buruk,what makes him so bad,apa yang membuatnya begitu buruk?,what makes him so bad?
kasar berteriak,hes rude and he yells a lot,dia kasar dan dia banyak berteriak.,he's rude and he yells a lot.
sulit diterima,thats hard to take,itu sulit untuk diterima.,that's hard to take.
mendengar tolong terima kasih,ive never heard him say please or thank you,Saya tidak pernah mendengar dia berkata tolong atau terima kasih.,i've never heard him say please or thank you.
terdengar orang brengsek sungguhan,he sounds like a real jerk,dia terdengar seperti orang brengsek sungguhan.,he sounds like a real jerk.
orang kerja menyukainya,no one at work likes him,tidak ada orang di tempat kerja yang menyukainya.,no one at work likes him.
melaporkannya supervisornya,cant you report him to his supervisor,tidak bisakah Anda melaporkannya ke supervisornya?,can't you report him to his supervisor?
kehilangan pekerjaan,of course not if i do that ill lose my job,"tentu saja tidak. jika saya melakukan itu, saya akan kehilangan pekerjaan.","of course not. if i do that, i'll lose my job."
ya suka pembuat onar pengeluh,yes they dont like troublemakers or complainers,"ya, mereka tidak suka pembuat onar atau pengeluh.","yes, they don't like troublemakers or complainers."
berhenti gaji bagus,i cant quit because im making a good salary,"saya tidak bisa berhenti, karena gaji saya bagus.","i can't quit, because i'm making a good salary."
lakukan,you shouldnt choose money over happiness,apa yang akan kita lakukan?,you shouldn't choose money over happiness.
,about what,tentang apa?,about what?
mencari pekerjaan,about finding a job for me,tentang mencari pekerjaan untuk saya.,about finding a job for me.
membutuhkan pekerjaan menghasilkan uang berdua,you dont need a job i make enough money for both of us,Anda tidak membutuhkan pekerjaan. saya menghasilkan cukup uang untuk kami berdua.,you don't need a job. i make enough money for both of us.
dudukduduk,that doesnt matter i dont want to sit around,itu tidak masalah. saya tidak ingin duduk-duduk.,that doesn't matter. i don't want to sit around.
oke pekerjaan,okay what kind of job do you want,"oke, pekerjaan apa yang kamu inginkan?","okay, what kind of job do you want?"
,im not sure,saya tidak yakin,i'm not sure.
baiklah sukai,well you should do something that you enjoy,"baiklah, Anda harus melakukan sesuatu yang Anda sukai.","well, you should do something that you enjoy."
menikmati menjual lahir menjual,i enjoy selling i was born to sell,saya menikmati menjual. saya lahir untuk menjual.,i enjoy selling. i was born to sell.
oke jual,okay what do you want to sell,oke mau jual apa,"okay, what do you want to sell?"
korek api menghasilkan uang,cigarette lighters ill make a fortune,korek api. saya akan menghasilkan banyak uang.,cigarette lighters. i'll make a fortune.
hotel mencari pekerja,but you hate cigarettes and you hate smoking,hotel baru sedang mencari pekerja.,but you hate cigarettes and you hate smoking!
ya berita tv,yes i saw it on the tv news,"ya, saya melihatnya di berita TV.","yes, i saw it on the tv news."
membutuhkan 300 pekerja,they need 300 new workers,mereka membutuhkan 300 pekerja baru.,they need 300 new workers.
4000 orang muncul,and 4000 people showed up,dan 4.000 orang muncul.,"and 4,000 people showed up."
orang kehilangan pekerjaan,so many people are out of work,begitu banyak orang kehilangan pekerjaan.,so many people are out of work.
memiliki pekerjaan syukurlah,i still have my job thank goodness,"saya masih memiliki pekerjaan saya, syukurlah.","i still have my job, thank goodness."
khawatir,so do i but im worried,"Aku juga, tapi aku khawatir.","so do i, but i'm worried."
jaminan,me too there are no guarantees,saya juga. tidak ada jaminan.,me too. there are no guarantees.
kehilangan pekerjaan tinggal,if you lose your job you can move in with me,"jika Anda kehilangan pekerjaan, Anda bisa tinggal bersama saya.","if you lose your job, you can move in with me."
oh terima kasih,oh thank you thats very nice of you,Oh terima kasih. Anda sangat baik.,"oh, thank you. that's very nice of you."
,you would do the same for me,Anda akan melakukan hal yang sama untuk saya.,you would do the same for me.
pikir bodoh,of course what are friends for,Saya pikir saya melakukan sesuatu yang sangat bodoh.,of course. what are friends for?
lakukan,what did you do,apa yang kamu lakukan?,what did you do?
membeli saham,i bought some stock,saya membeli beberapa saham.,i bought some stock.
orang membeli saham,everybody buys stock,semua orang membeli saham.,everybody buys stock.
membelinya firasat,i bought it on a hunch,saya membelinya dengan firasat.,i bought it on a hunch.
membaca perusahaan,you didnt read about the company first,Anda tidak membaca tentang perusahaan terlebih dahulu?,you didn't read about the company first?
bisnis 60,i didnt have to its been in business for 60 years,saya tidak perlu. sudah dalam bisnis selama 60 tahun.,i didn't have to. it's been in business for 60 years.
,so whats the problem,jadi apa masalahnya?,so what's the problem?
tabungan perusahaan,i used all my savings on this one company,saya menggunakan semua tabungan saya untuk perusahaan yang satu ini.,i used all my savings on this one company.
meletakkan telur keranjang,you put all your eggs into one basket,Anda meletakkan semua telur Anda ke dalam satu keranjang.,you put all your eggs into one basket.
perusahaan bangkrut apaapa,if the company goes out of business ill have nothing,"jika perusahaan bangkrut, saya tidak akan punya apa-apa.","if the company goes out of business, i'll have nothing."
dokter,oh youll have somethingâ—youll have a lesson youll never forget,saya akan menjadi seorang dokter.,"oh, you'll have somethingÂ—you'll have a lesson you'll never forget!"
rencanamu,what happened to your plans,apa yang terjadi dengan rencanamu?,what happened to your plans?
iklan kimia perguruan,i got a d in college chemistry,Saya mendapat iklan di kimia perguruan tinggi.,i got a d in college chemistry.
iklan f,well a d is better than an f,"baik, iklan lebih baik daripada f.","well, a d is better than an f."
tutor membantu d,a tutor helped me get the d,seorang tutor membantu saya mendapatkan d!,a tutor helped me get the d!
dokter,so you didnt become a doctor,"jadi, Anda tidak menjadi dokter.","so, you didn't become a doctor."
senang melakukannya,and now im glad that i didnt,dan sekarang saya senang saya tidak melakukannya.,and now i'm glad that i didn't.
,whys that,kenapa begitu,why's that?
rumah sakit berbahaya dunia,a hospital is the most dangerous place in the world,rumah sakit adalah tempat paling berbahaya di dunia.,a hospital is the most dangerous place in the world.
oh ya kuman pembunuh,oh yes because of all the killer germs,"oh, ya, karena semua kuman pembunuh.","oh, yes, because of all the killer germs."
dokter cerdas menjauh rumah sakit,if youre a smart doctor you stay away from hospitals,"jika Anda seorang dokter yang cerdas, Anda menjauh dari rumah sakit.","if you're a smart doctor, you stay away from hospitals."
pembawa surat dewasa,yes the smart doctors are those tv news doctorsâ—no hospitals no patients,Saya ingin menjadi pembawa surat ketika saya dewasa.,"yes, the smart doctors are those tv news doctorsÂ—no hospitals, no patients."
,why,Mengapa?,why?
bertemu orang,because you get to meet a lot of people,karena Anda bisa bertemu banyak orang.,because you get to meet a lot of people.
melakukannya,you sure do,Anda yakin melakukannya.,you sure do.
berolahraga,and you get a lot of exercise every day,dan Anda banyak berolahraga setiap hari.,and you get a lot of exercise every day.
,thats the truth,itulah yang sebenarnya.,that's the truth.
bermain anjing,and you get to play with a lot of dogs,dan Anda bisa bermain dengan banyak anjing.,and you get to play with a lot of dogs.
,well youre supposed to be working,"baik, kamu seharusnya bekerja.","well, you're supposed to be working."
ya mengelus anjing ramah,yes but i will always pet the friendly dogs,"ya, tapi saya akan selalu mengelus anjing yang ramah.","yes, but i will always pet the friendly dogs."
anjing ramah,what about the unfriendly dogs,bagaimana dengan anjing yang tidak ramah?,what about the unfriendly dogs?
pikir ramah anjing ramah,i think if you are friendly to dogs they are friendly to you,"Saya pikir jika Anda ramah terhadap anjing, mereka ramah kepada Anda.","i think if you are friendly to dogs, they are friendly to you."
pindah new york,dogs are like peopleâ—not all of them are friendly,saya ingin pindah ke new york.,dogs are like peopleÂ—not all of them are friendly.
negara kota,to the state or the city,ke negara bagian atau kota?,to the state or the city?
kota,to the city of course,"ke kota, tentu saja.","to the city, of course."
pindah kesana,why do you want to move there,kenapa kamu ingin pindah kesana?,why do you want to move there?
menghasilkan uang,because i want to make a lot of money,karena saya ingin menghasilkan banyak uang.,because i want to make a lot of money.
orang miskin new york,there are a lot of poor people in new york,ada banyak orang miskin di new york.,there are a lot of poor people in new york.
juta,there sure areâ—at least a million,pasti ada setidaknya satu juta.,there sure areÂ—at least a million.
berencana kaya,so how do you plan to become rich,jadi bagaimana Anda berencana untuk menjadi kaya?,so how do you plan to become rich?
mengetuk pintu perusahaan,i will knock on the doors of all the corporations,saya akan mengetuk pintu semua perusahaan.,i will knock on the doors of all the corporations.
membuatmu kaya berbicara,that wont make you rich nobody will talk to you,itu tidak akan membuatmu kaya. tidak ada yang akan berbicara dengan Anda.,that won't make you rich. nobody will talk to you.
mengetuk pintu,i will keep knocking on doors,saya akan terus mengetuk pintu.,i will keep knocking on doors.
suka salad,all you will get is sore knuckles,Saya suka salad.,all you will get is sore knuckles.
,me too,saya juga.,me too.
makan salad sederhana,i usually eat a simple salad,saya biasanya makan salad sederhana.,i usually eat a simple salad.
masukkan dalamnya,what do you put in it,apa yang kamu masukkan ke dalamnya?,what do you put in it?
selada tomat seledri,just lettuce tomato and celery,"hanya selada, tomat, dan seledri.","just lettuce, tomato, and celery."
,thats it,itu dia?,that's it?
merica garam,i add some pepper and salt,saya menambahkan sedikit merica dan garam.,i add some pepper and salt.
menaruh keju salad,i always put cheese in my salads,saya selalu menaruh keju di salad saya.,i always put cheese in my salads.
ya keju enak,yes cheese is nice,"ya, keju itu enak.","yes, cheese is nice."
jenis pakaian pakai,what kind of dressing do you use,jenis pakaian apa yang kamu pakai?,what kind of dressing do you use?
menuangkan saus perancis atasnya,i pour lots of french dressing on top,saya menuangkan banyak saus perancis di atasnya.,i pour lots of french dressing on top.
suka keju,me too french dressing is so delicious who cares about calories,saya suka keju.,me too. french dressing is so delicious! who cares about calories?
,me too,saya juga.,me too.
darimana keju berasal,where does cheese come from,darimana keju berasal?,where does cheese come from?
berasal sapi,it comes from cows,itu berasal dari sapi.,it comes from cows.
keju sapi susu,so we get cheese from cows and we get milk too,"jadi kita mendapat keju dari sapi, dan kita juga mendapat susu?","so we get cheese from cows, and we get milk, too?"
ya lakukan,yes we do,"ya, kami lakukan.","yes, we do."
dapatkan sapi,what else do we get from cows,apa lagi yang kita dapatkan dari sapi?,what else do we get from cows?
hamburger steak,we get hamburgers and steak,kami mendapatkan hamburger dan steak.,we get hamburgers and steak.
oh enak,oh thats so delicious,"oh, enak sekali.","oh, that's so delicious."
kulit,we also get leather,kami juga mendapatkan kulit.,we also get leather.
barang sapi,we get a lot of things from cows dont we,"kita mendapatkan banyak barang dari sapi, bukan?","we get a lot of things from cows, don't we?"
toko makanan,yes a cow is mans best friend,saya dulu bekerja di toko makanan.,yes. a cow is man's best friend.
menyukainya,how did you like it,bagaimana kamu menyukainya?,how did you like it?
menyukainya,i loved it,saya menyukainya!,i loved it!
makanan gratis,did you get free food,apakah kamu mendapat makanan gratis?,did you get free food?
makan keju daging gratis,i ate free cheese and meat every day,saya makan keju dan daging gratis setiap hari.,i ate free cheese and meat every day.
pekerjaan bagus,that sounds like a great job,sepertinya pekerjaan yang bagus.,that sounds like a great job.
dipesan pelanggan memotong,whatever a customer ordered i sliced off a little more for me,"apa pun yang dipesan pelanggan, saya memotong sedikit lebih banyak untuk saya.","whatever a customer ordered, i sliced off a little more for me."
gemuk,did you get fat,apakah kamu menjadi gemuk?,did you get fat?
menambah kilo,no but i did put on a few pounds,"tidak, tapi aku menambah beberapa kilo.","no, but i did put on a few pounds."
kedengarannya pekerjaan impian,that sounds like a dream job,Kedengarannya seperti pekerjaan impian.,that sounds like a dream job.
manajer menangkap,it was until one day my manager caught me,"Itu terjadi, sampai suatu hari manajer saya menangkap saya.","it was, until one day my manager caught me."
menjalani diet,no more free cheese for you huh,Saya menjalani diet baru.,"no more free cheese for you, huh?"
makan,what are you eating now,apa yang kamu makan sekarang,what are you eating now?
beralih pasta kentang,i switched from pasta to potatoes,saya beralih dari pasta ke kentang.,i switched from pasta to potatoes.
kau,why did you do that,kenapa kau melakukan itu?,why did you do that?
pasta makanan olahan kentang makanan alami,pasta is processed food potatoes are natural food,pasta adalah makanan olahan. kentang adalah makanan alami.,pasta is processed food. potatoes are natural food.
makanan alami memiliki vitamin,natural food has more vitamins,makanan alami memiliki lebih banyak vitamin.,natural food has more vitamins.
mudah disiapkan,and its just as easy to prepare,dan itu mudah disiapkan.,and it's just as easy to prepare.
kentang,how do you prepare the potatoes,bagaimana Anda menyiapkan kentang?,how do you prepare the potatoes?
mencucinya mengukusnya 15 menit,i wash them and then steam them for 15 minutes,"saya mencucinya, lalu mengukusnya selama 15 menit.","i wash them, and then steam them for 15 minutes."
sederhana,thats pretty simple,itu sangat sederhana.,that's pretty simple.
tambahkan mentega garam merica,then i add butter salt and pepper,"lalu saya tambahkan mentega, garam, dan merica.","then i add butter, salt, and pepper."
pacar marah meja makan,can i have all those cans of tomato sauce you bought for your pasta,ibu pacar saya marah pada saya di meja makan.,can i have all those cans of tomato sauce you bought for your pasta?
,why was that,kenapa bisa begitu?,why was that?
menaburkan garam merica makanan mencicipinya,i sprinkled salt and pepper on the food before i tasted it,Saya menaburkan garam dan merica pada makanan sebelum saya mencicipinya.,i sprinkled salt and pepper on the food before i tasted it.
,whats the matter with that,ada apa dengan itu?,what's the matter with that?
ibunya juru masak hebat,her mom is a great cook,ibunya adalah juru masak yang hebat.,her mom is a great cook.
garam merica menyakiti apapun,so a little salt and pepper never hurt anything,"jadi, sedikit garam dan merica tidak akan menyakiti apapun.","so, a little salt and pepper never hurt anything."
menyakiti perasaannya,it hurt her feelings,itu menyakiti perasaannya.,it hurt her feelings.
oh,oh,oh.,oh.
maaf kesal,i apologized to her but i could tell she was still upset,"saya minta maaf padanya, tapi saya tahu dia masih kesal.","i apologized to her, but i could tell she was still upset."
makan,maybe you shouldnt eat there again,mungkin sebaiknya kamu tidak makan di sana lagi.,maybe you shouldn't eat there again.
baikbaik,im sure everything will be okay in a day or two,saya yakin semuanya akan baik-baik saja dalam satu atau dua hari.,i'm sure everything will be okay in a day or two.
makan,its your girlfriends fault she should have warned you,saya makan hal yang sama setiap hari.,it's your girlfriend's fault. she should have warned you.
bercanda,youre kidding,kamu bercanda.,you're kidding.
serius,no im serious,"tidak, aku serius.","no, i'm serious."
tua,doesnt that get old,tidakkah itu menjadi tua?,doesn't that get old?
makan makanan suka,no because im eating food that i like,"tidak, karena saya makan makanan yang saya suka.","no, because i'm eating food that i like."
tua,but the same thing day after day gets old,tetapi hal yang sama hari demi hari menjadi tua.,but the same thing day after day gets old.
yah tua mengubahnya berbeda,well i guess if it ever does get old ill change to something different,"Yah, saya kira jika itu menjadi tua, saya akan mengubahnya ke sesuatu yang berbeda.","well, i guess if it ever does get old, i'll change to something different."
makan buah sayur,do you eat fruits and vegetables every day,apakah kamu makan buah dan sayur setiap hari?,do you eat fruits and vegetables every day?
benci sayuran,no i hate vegetables,"tidak, saya benci sayuran.","no, i hate vegetables."
makan buahbuahan,but you eat fruits,tapi kamu makan buah-buahan.,but you eat fruits.
makan apel pisang jeruk,i eat two apples one banana and one orange every day,"saya makan dua apel, satu pisang, dan satu jeruk setiap hari.","i eat two apples, one banana, and one orange every day."
salah jeruk,well theres nothing wrong with that,ada yang salah dengan jeruk saya.,"well, there's nothing wrong with that."
salah,whats wrong,apa yang salah?,what's wrong?
oranye,its not orange,itu bukan oranye!,it's not orange!
jeruk oranye,your orange isnt orange,jeruk kamu bukan oranye?,your orange isn't orange?
pink tua,no its dark pink,"tidak, ini pink tua!","no, it's dark pink!"
mendengar,are you sure i never heard of such a thing,apakah kamu yakin saya tidak pernah mendengar hal seperti itu.,are you sure? i never heard of such a thing.
mengupasnya,i just peeled it and im looking at it right now,"saya baru saja mengupasnya, dan saya melihatnya sekarang.","i just peeled it, and i'm looking at it right now."
biarku lihat ya kau jingga merah muda,let me see yes youre right your orange is pink,biarku lihat. ya kau benar. jingga kamu merah muda.,"let me see. yes, you're right. your orange is pink."
mendengar,who ever heard of such a thing,siapa yang pernah mendengar hal seperti itu?,who ever heard of such a thing?
oh lihat stiker atasnya pusar merah muda,oh look heres the little sticker that was on it its called a pink navel,Oh lihat. ini stiker kecil yang ada di atasnya. itu disebut pusar merah muda.,"oh, look. here's the little sticker that was on it. it's called a pink navel."
dunia,what is this world coming to,akan jadi apa dunia ini?,what is this world coming to?
suka kacang,who knows maybe soon well have pink bananas,Saya suka kacang.,who knows? maybe soon we'll have pink bananas.
suka panggang asin,me too i love them roasted and salted,saya juga. Saya suka mereka panggang dan asin.,"me, too. i love them roasted and salted."
suka kacang rebus,i love boiled peanuts,Saya suka kacang rebus.,i love boiled peanuts.
rebus mendengar,boiled i never heard of that,rebus? Aku tidak pernah mendengar itu.,boiled? i never heard of that.
