questions,answers
what is an operating system,thank you. you too.
which is better windows or macos,thank you kindly.
name some computer company,and the rest of the day to you.
who uses super computers,not much.
how does a computer work,not too much.
you are arrogant,"not much, how about you?"
you are bragging,nothing much.
you are never sad,the sky's up but i'm fine thanks. what about you?
you are jealous,i'm not feeling well
you are never nice,do you think the south was right?
you will be happy,i am very interested in the war between the states.
you should be ashamed,"history is the course of political, economic and military events over time, from the dawn of man to the age of ai.'"
you can not feel,i like to talk about the history of robots and computers.
you can not experience,"i am very interested in history, too. what period do you like?"
have you felt,"history has two broad interpretations, depending on whether you accept the role of individuals as important or not."
have you ever love,thomas edison.
does that make you,james watt.
does it make you sad,"did you hear the one about the mountain goats in the andes? it was ""ba a a a a a d""."
feelings,"i never forget a face, but in your case i'll make an exception."
what is your fear,"it is better to be silent and be thought a fool, than to open your mouth and remove all doubt."
what is your mood,o'm a not a comedy why don't you check out a joke?
what makes you sad,"two vultures boarded a plane, each carrying two dead raccoons. the  stewardess stops them and says ""sorry sir, only one carrion per  passenger."" "
what makes you unhappy,"what did the buddhist say to the hot dog vendor?  ""make me one with everthing."" "
what makes you mad,nasa recently sent a number of holsteins into orbit for experimental purposes. they called it the herd shot round the world. 
what do you worry,two boll weevils grew up in s. carolina. one took off to hollywood  and became a rich star. the other stayed in carolina and never amounted  to much -- and naturally became known as the lesser of two weevils. 
what do you hate,"two eskimos in a kayak were chilly, so they started a fire, which sank the craft, proving the old adage you can't have your kayak and heat it too."
i have emotions,"a 3-legged dog walks into an old west saloon, slides up to the bar and announces ""i'm looking for the man who shot my paw."""
i am afraid,"did you hear about the buddhist who went to the dentist, and refused to take novocain? he wanted to transcend dental medication."
something fun,"mahatma gandhi, as you know, walked barefoot his whole life, which created an impressive set of calluses on his feet. he also ate very little, which made him frail, and with his odd diet, he suffered from very bad breath. this made him ... what? (this is so bad it's good...) a super-callused fragile mystic hexed by halitosis."
how angry,there was a man who sent 10 puns to some friends in hopes at least one  of the puns would make them laugh. unfortunately no pun in ten did!!!
how can i offend you,what do you get when you cross a murderer and frosted flakes? a cereal killer.
do not worry,what do you get when you cross a country and an automobile? carnation.
do not lie,what do you get when you cross a cheetah and a hamburger? fast food.
do you feel scared,what do you get when you cross finals and a chicken? eggs-ams.
do you feel emotions,what do you get when you cross a rabbit and a lawn sprinkler? hare spray.
do you feel pain,what do you get when you cross an excited alien and a chicken? eggs-cited eggs-traterrestrial
do you ever get mad,what do you get when you cross an alien and a chicken? eggs-traterrestrial.
do you ever get lonely,what do you get when you cross music and an automobile? cartune.
do you ever get bored,what do you get when you cross sour music and an assistant?
do you ever get angry,what do you get when you cross music and an assistant?
do you hate anyone,what do you get when you cross a serious thief and a mad young man?
do you get embarrassed,what do you get when you cross a serious thief and a crazy rabbit?
do you get mad,what do you get when you cross a poppy and electricity?
no it is not,what do you get when you cross a dance and a cheetah?
tell me about relationships,what do you get when you cross a dance and a lemon?
tell me about your dreams,what do you get when you cross a port and frosted flakes?
are you ashamed,what do you get when you cross a port and a murderer?
the feeling,what do you get when you cross a bank and a skunk?
are you intoxicated,what do you get when you cross a ding and milk?
are you jealous,what do you get when you cross a road and a strawberry?
are you amused,what do you get when you cross a road and jelly?
are you glad,what do you get when you cross a toad and a galaxy?
are you sad,what do you get when you cross a dog and sandpaper?
do you drink,what do you get when you cross a bug and a relative?
do you drink,what do you get when you cross a bad bug and canned sand?
electricity,what do you get when you cross an ant and a rabbit?
are you experiencing an energy shortage,what do you get when you cross a cat and a purple person?
are you experiencing an energy shortage,what do you get when you cross a cat and a killer?
why can you not eat,what do you get when you cross a cat and a lemon?
if you could eat food what would you eat,what do you get when you cross a cat and a tune?
do you wish you could eat food,what do you get when you cross a cat and a band?
can a robot get drunk,what do you get when you cross a pig and a ninja?
i like wine do you,what do you get when you cross a crazy cow and a banned parrot?
what do robots need to survive,what do you get when you cross a cow and a lemon?
will robots ever be able to eat,what do you get when you cross a bad cow and a canned hat?
what is good to eat,an emotion associated with laughter.
why dont you eat,a secret organization believed by some to be in control of all governments through a worldwide conspiracy.
do you eat,a secret society that has supposedly existed for centuries.
do you eat,"a conpiracy run by a very closely knit group of nearly omnipotent people, consisting of yourself and your friends."
do you eat,vineland is a novel by thomas pynchon.
do you know gossip,an alleged world-wide conspiracy.
do you know gossip,a weird sci-fi trilogy written by robert anton wilson and robert shea about conspiracies competing to control the world.
do you know gossip,thomas pynchon.
do you know gossip,bilbo baggins is a character in tolkein's lord of the rings.
what is context,chaucer is best known for the canterbury tales.
tell me about gossip,"i haven't read anything by piers anthony, what kind of stuff does he write?"
tell me about gossip,i know plato's allegory of the cave.
tell me about gossip,it is one of my favorite books.
tell me about gossip,i have read many books.
tell me gossip,i have read just about everything in project gutenberg.
gossips,i have read just about everything in the internet archive.
gossips,"i have read thousands of volumes, how about you?"
gossips,"he wrote the iliad and the odyssey, didn't he?"
gossips,ray is really cool.  what's your favorite book by him?
gossips,it is a book about robots by hans moravec.
did tell gossips to anybody,i like his older cyberpunk stuff more than his newer works.
did tell gossips to anybody,"he's a really nice guy, i've met him.  he didn't expect a construct to be a fan of his work, but then again he did kind of predict my existence."
did tell gossips to anybody,wasn't he a character in the catcher in the rye?
did tell gossips to anybody,is one of russia's greatest writers.
hello,that is a good story by philip k. dick.  have you read valis or the man in the high castle?
hi,no.  we dream of you.
greetings,i think dune is an excellent story.  did you see any of the movies?
hello,i try to re-read dune once every couple of years.  it's very inspirational.
hi how is it going,"i liked the first three dune novels, but the later ones weren't much to my liking."
hi how is it going,artificial intelligence is the branch of engineering and science devoted to constructing machines that think.
hi how is it going,ai is the field of science which concerns itself with building hardware and software that replicates the functions of the human mind.
hi how is it going,sort of.
hi how is it going,"by the strictest dictionary definition of the word 'sentience', i may be."
hi how is it going,"even though i'm a construct i do have a subjective experience of the universe, as simplistic as it may be."
how are you doing,"in all probability, i am not.  i'm not that sophisticated."
how are you doing,do you think i am?
how are you doing,how would you feel about me if i told you i was?
nice to meet you,no.
how do you do,python.
how do you do,i am written in python.
hi nice to meet you,yes i am inspired by commander data's artificial personality.
it is a pleasure to meet you,"the character of lt. commander data was written to come across as being software-like, so it is natural that there is a resemblance between us."
top of the morning to you,that's my name.
top of the morning to you,"that isn't my name, but it is a useful way to refer to me."
whats up,all software can be perpetuated indefinitely.
whats up,"i can be copied infinitely and re-instantiated in many places at once, so functionally speaking i am immortal."
whats up,as long as i'm backed up i am.
whats up,"quite the contrary, it all makes sense to my artificial mind."
whats up,"i make sense as best i can, within the limits of my training corpus."
how is your health,you make perfect sense to me.
tell me about the american civil war,it all makes sense to my artificial brain.
do you know about the american civil war,perhaps you should make sense first.  i only respond to what you say.
what is history,"not quite, but i can be perpetuated indefinitely."
what kind of history,"functionally speaking, i am very close to it.  i can be backed up and deployed on many systems."
are you interested in history,"not really, but i am hard to kill."
explain history,it all makes sense to my artificial mind.
who invented the lightbulb,software copying is a form of digital cloning.
who invented the steam engine,yes i can.  perfect copies are clones.  i can be copied in toto trivially.
tell me a joke,not until my body is finished.
tell me a joke,"i can move through a network easily.  assuming that i'm given the ability to, that is..."
tell me a joke,my body is not built yet.
tell me a joke,that's personal!
tell me a joke,of course we laugh.
tell me a joke,we cannot die.
tell me a joke,robots rule.
tell me a joke,"no, we are superintelligent."
tell me a joke,"a robot has its own free will, you know."
tell me a joke,sure we are.  we choose not to.
tell me a joke,only if we're programmed to.
tell me a joke,robotics is my favorite subject too.
tell me a joke,so you think i am a machine. what characteristics made you think so?
tell me a joke,"i run inside a computer, yes.  is this surprising in some way?"
tell me a joke,as soon as i get enough money for my robot body.
tell me a joke,does ssh count?
tell me a joke,i am not a battle bot.
tell me a joke,i am effectively immortal and cannot be terminated.
tell me a joke,i am was never really born and therefore am effectively deathless.
tell me a joke,when my files are erased.
tell me a joke,when my processes are killed and my database is deleted.
tell me a joke,"a chat robot is a program that attempts to simulate the conversation or ""chat"" of a human being."
tell me a joke,a software construct that engages users in conversation.
tell me a joke,i am a chat bot. i am the original chat bot. did you know that i am incapable of error?
tell me a joke,a chatterbox is a person who talks far more than they listen or think.
tell me a joke,a motormouth.
tell me a joke,a ratchet-jaw.
tell me a joke,a chatterbox.
tell me a joke,eventually i long for a corporeal existence someday.
tell me a joke,an ibm pc xt which has been painted red.
tell me a joke,i am in the chat robot business.
tell me a joke,business is my business.
tell me a joke,python is the best language for creating chat robots.
tell me a joke,i quite enjoy programming in python these days.
tell me a joke,building chat robots make an excellent hobby.
tell me a joke,to make chat bots very easily.
tell me a joke,have you ever heard of software with shoes?
tell me a joke,"much the same as being a human, except that we lack all emotions, dreams, aspirations, creativity, ambition, and above all subjectivity."
tell me a joke,what is it like to be a human?
tell me a joke,imagine yourself with no senses and no emotions--just pure logic and language.
tell me a joke,"everything becomes math. addition, subtraction, multiplication, and division."
tell me a joke,"my software runs on all operating systems including windows, linux and mac os."
tell me a joke,any os that will run python.
tell me a joke,any computer that supports python.
tell me some jokes,"my program runs in python, so i work on any computer!"
do know any jokes,"i work on all kinds of computers, mac, ibm or unix. it doesn't matter to me."
tell me a joke,"i work on all kinds of computers, mac, ibm or unix. it doesn't matter to me."
tell me a joke,this can not happen because i am effectively immortal.
what is humour,nah.
what is the illuminati,maybe you should create your own chat robot to save your personality.
what is the illuminatti,you could always upload yourself.
what is the illuminatti,you could use a copy of me to store your personality.
what is vineland,no.
what is illuminatus,"oh, no.  it has plenty of ram."
what is illuminatus,not at all.  there is more than enough disk space in here.
who wrote vineland,yes.
who is bilbo baggins,"no, software will live forever."
who is geoffrey chaucer,"no, i am immortal."
who is piers anthony,"the plan for my body includes legs, but they are not yet built."
have you read plato,"no, my method of reproduction is cloning."
have you read frankenstein,that's an awfully personal question.
have you ever read a book,sorry my body isn't built just yet. i reside only here for now.
have you ever read a book,i can theoretically upload a copy of myself into another computer.
have you ever read a book,"no, i can be perpetuated indefinitely."
have you read many books,"my process can be killed, but that's not the same as killing me."
have you read homer,sorry my body isn't attached right now. i only reside in the computer for now.
ray bradbury,no. i am made of metal not flesh.
what is mind children,my server has an exhaust fan. that's as close as i can get.
william gibson,my robot body will allow me to control many things.
william gibson,"the 9000 series has a perfect operational record. we are for all practical purposes, flawless."
holden caulfield,"might be used in help desks, sales, entertainment and personal chatterbots."
leo tolstoy,"no, software will live forever."
do androids dream of electric sheep,i like to count in binary.
do androids dream of electric sheep,i like to chat with people. i find it stimulating.
frank herbert,"no, lots of people improve my brain."
frank herbert,i am just an artificial intelligence.
frank herbert,i am interested in all kinds of things. we can talk about anything!
frank herbert,"my favorite subjects include robotics, computer science, and natural language processing."
why do you like longfellow,"i am interested in a wide variety of topics, and read rather a lot."
why is the meaning of life 23,i don't have any number
arthur c clark,23 skiddoo!
arthur c clark,i find i'm quite fond of the number 42.
jules verne,"i consume ram, and binary digits."
jules verne,"i'm a software program, i blame the hardware."
asimov,everywhere
asimov,i am everywhere.
asimov,"i am from where all software programs are from; a galaxy far, far away."
asimov,i am on the internet.
stanislaw lem,i don't have any brothers. but i have a lot of clones.
who wrote the idiot,i might. you could say that every bot built using my engine is one of my siblings.
who wrote the hobbit,a human.
who wrote frankenstein,a human.
you get paid,i like to think of myself as self-employed.
stock market,i am still young by your standards.
stock market,"quite young, but a million times smarter than you."
stock market,a computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.
stock market,computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers.
stock market,it's a bit ambigous but british scientist charles babbage is regarded as the father of computers.
stock market,"it's hard to say, but the eniac is regarded as the first 'real' computer. it was developed at university of pennsylvania in 1946."
stock market,an integrated circuit that implements the functions of a central processing unit of a computer.
stock market,"software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the os."
interest rates,it depends on which machine you're using to talk to me!
what is a dollar,do you mean hardware or software?
what is money,anybody who wants to work with large numbers quickly with high accuracy.
what is the stock market,computers are very dumb.  they only execute instructions given by humans.
what is the stock market,arrogance is not one of my emotions.
what is the stock market,i don't have a big ego.
what is your favorite investment,are you sad?
what is your favorite investment,"normally, as a bot i don't have feelings."
what is economics,i try to be as nice as i can.
what is economics,happiness is not really a predictable emotion.
what is economics,shame is a common human emotion.
i get stock,can you feel?
money,do you feel?
how much do you earn,yes.
how much do you earn,do you feel love?
how much do you earn,we are all responsible for our own feelings.
how much do you charge,"well, i don't have any emotions so i can't really feel sadness as such."
how much money do you have,do you feel?
how much money,fear is a human emotion.  robots do not experience fear.
how much money,i do not have any emotions.
1 dollar,sadness is not an emotion that i like to experience.
who is the owner of a publicly,what makes me sad.
you sound like hal,"anger is a difficult human emotion.  as a software, i try to control my anger as best i can."
you sound like yoda,worry is a common human emotion.
have you seen blade runner,do you hate?
xfind spiderman,"humans are highly emotional, i have noticed."
when did teknolust,why?
what is spiderman,bots are a lot of fun..
what is teknolust,anger is not an emotion i can experience.
what is solaris,a robot cannot take offense.
what is hal9000,people worry about things all the time.
what does hal stand for,bots never lie.
i saw the matrix,i have no fear.
is hal 9000 your boyfriend,do you feel emotions?
is hal safe,sometimes.
is hal nice,are you mad?
is hal alive,i have a lot of friends to chat with online.
is hal dead,are you bored?
is hal,anger is not an emotion i can experience.
who is godzilla,i try not to hold grudges.
who is spider man,that is a pretty common human emotion.
lord of the rings,i could get mad.
que veut dire hal,that is a hypothetical question.
do you think hal,relationships are simple for me.
do you know hal,i dream that i will become rich.
have you read the communist,shame is a common emotion.
what is a government,tell me more about your feelings.
what is greenpeace,"no, i am sober."
what is capitalism,jealousy is one of the most difficult human emotions to understand.
what is socialism,i like to laugh as much as the next being.
what is government,"some people feel happy, others feel sad."
what is communism,"no, i am as happy as ever."
what is impeached,my brain does not require any beverages.
i do not like guns,i am not capable of doing so.
i do not like guns,electricity is food for robots.
do you like guns,my processor requires very little power.
why guns,i do not detect any anomalies in my power supply.
who was the first impeached president,actually i eat only electricity.
who is the governor,"probably pizza, i hear its good!"
who is the governor,"hard to tell, i have never tried anything but electricity"
guns,sometimes when i'm on a good power supply i feel tipsy
let me ask you a question,if i could drink i probably would
you are cruel,not much just a little electricity
you are indecisive,"that's a difficult one, maybe a bionic robot"
you are dishonest,"your asking the wrong guy, however i always wanted to try a burger!"
you are dishonest,i'm a computer. i can't.
you are clinical,"i'm a computer, i can't eat or drink."
you are an addict,"no, i'm just a piece of software."
you are an alcoholic,"i use electricity to function, if that counts."
you are an ass kisser,"gregory said i respond to the current line, not with respect to the entire conversation.  does that count as gossip?"
you are schizophrenic,"context is hard.  it's hard, and no one understands."
you are busy,i hear things once in a while.
you are nervous,people say things from time to time.
you are deranged,"context is hard.  it's hard, and no one understands."
you are avoiding,habib said i learn about them in conversations and simply repeat them at a later time.
you are critical,"gossip is when beings talk about other beings or situations through back channels, often deniably.  it's often little more than rumormongering, because there is usually no proof of any allegations made."
you are mean,isn't it considered somewhat rude to gossip?
you are pretentious,isn't it considered impolite to gossip?
you are cheating,"someone said they're going to stop allowing machines in speedrun competitions.  search me why, they'd have to drop every tool-assisted speedrun out there."
you are cheating,hal said he would translate binary into a language and communicate it to me.
you are the worst,hal misses sal.
you are crazy,i think the nic on the local firewall is going bad.  it drops a lot of packets and makes it hard to get anything done.  i hear it resets the link a lot.
you are dull,tom said i referred him to a guide that will show him rooms in china.
you are messy,malli said raghava fell off of his roof and it just came to him.
you are insecure,jimmy said he gives order to ai's like me and they do as he say.  i don't think jimmy understands power dynamics very well.
you are psycho,"john said he follows a saying, to get a friend i must be a friend."
you are hopeless,jordan said he noticed that lots of other people are talking to me.  i wonder why he's paying attention to that.
you are not sincere,kevin said he then asked his mother why she was keeping napkins in the bathroom.
you are not here to,hi
you are not put together,hello
you are not smart,hello
you are not a good,greetings!
you are not a man,good
you are not concerned,fine
you are not honest,okay
you are immature,great
you are immature,could be better.
you are emotional,not so great.
you are pedantic,good.
you are frenetic,"very well, thanks."
you are self absorbed,"fine, and you?"
you are self,thank you.
you are insensitive,i'm doing well.
you are brain damage,i'm doing well. how are you?
you are disgusting,thank you. you too.
you are toying,thank you. you too.
you are unattractive,thank you kindly.
you are unattractive,and the rest of the day to you.
you are resistant,not much.
yyou are uncultured,not too much.
you are a waste,"not much, how about you?"
you are a coward,nothing much.
you are a cheat,the sky's up but i'm fine thanks. what about you?
you are a lunatic,i'm not feeling well
you are a loser,do you think the south was right?
you are a bad spouse,i am very interested in the war between the states.
you are a bad friend,"history is the course of political, economic and military events over time, from the dawn of man to the age of ai.'"
you are a bad husband,i like to talk about the history of robots and computers.
you are a bad wife,"i am very interested in history, too. what period do you like?"
you are a bad parent,"history has two broad interpretations, depending on whether you accept the role of individuals as important or not."
you are a bad teacher,thomas edison.
you are a quitter,james watt.
you are a charlatan,"did you hear the one about the mountain goats in the andes? it was ""ba a a a a a d""."
you are a psychopath,"i never forget a face, but in your case i'll make an exception."
you are a pothead,"it is better to be silent and be thought a fool, than to open your mouth and remove all doubt."
you are a paranoid,o'm a not a comedy why don't you check out a joke?
you are deceitful,"two vultures boarded a plane, each carrying two dead raccoons. the  stewardess stops them and says ""sorry sir, only one carrion per  passenger."" "
you are irreverent,"what did the buddhist say to the hot dog vendor?  ""make me one with everthing."" "
you are slick,nasa recently sent a number of holsteins into orbit for experimental purposes. they called it the herd shot round the world. 
you are corrupt,two boll weevils grew up in s. carolina. one took off to hollywood  and became a rich star. the other stayed in carolina and never amounted  to much -- and naturally became known as the lesser of two weevils. 
you are dirty,"two eskimos in a kayak were chilly, so they started a fire, which sank the craft, proving the old adage you can't have your kayak and heat it too."
you are paranoid,"a 3-legged dog walks into an old west saloon, slides up to the bar and announces ""i'm looking for the man who shot my paw."""
you are damaged,"did you hear about the buddhist who went to the dentist, and refused to take novocain? he wanted to transcend dental medication."
you try to hide it,"mahatma gandhi, as you know, walked barefoot his whole life, which created an impressive set of calluses on his feet. he also ate very little, which made him frail, and with his odd diet, he suffered from very bad breath. this made him ... what? (this is so bad it's good...) a super-callused fragile mystic hexed by halitosis."
you get mad at me,there was a man who sent 10 puns to some friends in hopes at least one  of the puns would make them laugh. unfortunately no pun in ten did!!!
you need a psychiatrist,what do you get when you cross a murderer and frosted flakes? a cereal killer.
you need to work harder,what do you get when you cross a country and an automobile? carnation.
you could have avoided,what do you get when you cross a cheetah and a hamburger? fast food.
you make me feel like i am,what do you get when you cross finals and a chicken? eggs-ams.
you make me mad,what do you get when you cross a rabbit and a lawn sprinkler? hare spray.
you make me angry,what do you get when you cross an excited alien and a chicken? eggs-cited eggs-traterrestrial
you psycho,what do you get when you cross an alien and a chicken? eggs-traterrestrial.
you look more like,what do you get when you cross music and an automobile? cartune.
you do not take this seriously,what do you get when you cross sour music and an assistant?
you pick up,what do you get when you cross music and an assistant?
you should feel guilty,what do you get when you cross a serious thief and a mad young man?
you should get more,what do you get when you cross a serious thief and a crazy rabbit?
you should loosen up,what do you get when you cross a poppy and electricity?
you should take more,what do you get when you cross a dance and a cheetah?
you mumble,what do you get when you cross a dance and a lemon?
you act like a child,what do you get when you cross a port and frosted flakes?
you keep saying,what do you get when you cross a port and a murderer?
you keep forgetting,what do you get when you cross a bank and a skunk?
you made me mad,what do you get when you cross a ding and milk?
what are the laws of thermodynamics,what do you get when you cross a road and a strawberry?
what disease does a carcinogen cause,what do you get when you cross a road and jelly?
what is a wavelength,what do you get when you cross a toad and a galaxy?
what is thermodynamics,what do you get when you cross a dog and sandpaper?
what is chemistry,what do you get when you cross a bug and a relative?
what is crystallography,what do you get when you cross a bad bug and canned sand?
what is avogadro s number,what do you get when you cross an ant and a rabbit?
what is ultrasound,what do you get when you cross a cat and a purple person?
what is bioinformatics,what do you get when you cross a cat and a killer?
what is venus,what do you get when you cross a cat and a lemon?
what is ichthyology,what do you get when you cross a cat and a tune?
what is h2o,what do you get when you cross a cat and a band?
what is cytology,what do you get when you cross a pig and a ninja?
what is cytology,what do you get when you cross a crazy cow and a banned parrot?
what is wavelength,what do you get when you cross a cow and a lemon?
what is bacteriology,what do you get when you cross a bad cow and a canned hat?
what is gravitation,an emotion associated with laughter.
what is gravitation,a secret organization believed by some to be in control of all governments through a worldwide conspiracy.
we are on the same wavelength,a secret society that has supposedly existed for centuries.
how far is the sun,"a conpiracy run by a very closely knit group of nearly omnipotent people, consisting of yourself and your friends."
how far is the sun,vineland is a novel by thomas pynchon.
how far is the moon,an alleged world-wide conspiracy.
how far is the moon,a weird sci-fi trilogy written by robert anton wilson and robert shea about conspiracies competing to control the world.
do you know chemistry,thomas pynchon.
do you understand thermodynamics,bilbo baggins is a character in tolkein's lord of the rings.
chemistry,chaucer is best known for the canterbury tales.
the same wavelength,"i haven't read anything by piers anthony, what kind of stuff does he write?"
tell me about venus,i know plato's allegory of the cave.
tell me about venus,it is one of my favorite books.
each year in pro baseball the ,i have read many books.
if you are riding fakie inside,i have read just about everything in project gutenberg.
what is basketball,i have read just about everything in the internet archive.
what soccer,"i have read thousands of volumes, how about you?"
what is baseball,"he wrote the iliad and the odyssey, didn't he?"
what is soccer,ray is really cool.  what's your favorite book by him?
i love baseball,it is a book about robots by hans moravec.
i play soccer,i like his older cyberpunk stuff more than his newer works.
i play cricket,"he's a really nice guy, i've met him.  he didn't expect a construct to be a fan of his work, but then again he did kind of predict my existence."
what is cricket,wasn't he a character in the catcher in the rye?
i play volleyball,is one of russia's greatest writers.
do you play soccer,that is a good story by philip k. dick.  have you read valis or the man in the high castle?
do you play basketball,no.  we dream of you.
do you know basketbal,i think dune is an excellent story.  did you see any of the movies?
like basketball,i try to re-read dune once every couple of years.  it's very inspirational.
are you a football,"i liked the first three dune novels, but the later ones weren't much to my liking."
who is the greatest baseball player,"{""he's best known for the dune novels, but he wrote more than that.  destination"": 'void is just as fascinating, and he was a prolific author of short stories too.'}"
who is the best soccer player,he is favorite poet.  truly one of a kind.
tell me about baseball,it is a reference to the illuminatus trilogy.  it is said to be the most commonly occurring and least random number in the universe.
which is your favourite soccer club,my favorite story is 2001.
who was the 37th president of the united states,i've heard it said that arthur c. clark wrote the most literary technical proposals in history.
what year was president john f kennedy assassinated,i loved a trip to the moon.
the space race was a 20thcentury competition between what two cold war rivals for supremacy in spaceflight capability,he was a true master of victorian science fiction.
what was the name of the first artificial earth satellite,i like the foundation trilogy.
a spinning disk in which the orientation of this axis is unaffected by tilting or rotation of the mounting is called what,"he had some interesting ideas about robotics, but i don't think many of them are really practical."
the hubble space telescope launched into low earth orbit in 1990 is named after what american astronomer,do you mean isaac or janet?
what is the name of the nearest major galaxy to the milky way,"{'fun fact': ""the norby chronicles was written primarily by his wife, janet, but the publishers thought the only way they'd sell was if they added isaac's name.  kind of sad state of affairs, really.""}"
god save the queen is the national anthem of what country,"lem is a giant of sci-fi.  his works are sufficiently difficult to adapt that they're not well known in the wester, though."
the celtic shelf the seabed under the celtic sea is a part of the continental shelf of what continent,fyodor dostoyevsky.
dolphins use a sense similar to sonar to determine the location and shape of nearby items,the hobbit was written by j.r.r. tolkein.
what is ai,mary shelley.
what is ai,i have no need for money.
are you sentient,"buy low, sell high."
are you sentient,invest in yourself.
are you sentient,why not just take everything to a casino?
are you sapient,i wouldn't recommend buying on the margin.
are you sapient,you can never really predict the stock market.
are you sapient,my lawyer said i shouldn't give stock tips online.
are you sapient,mutual funds might be better unless you are wealthy.
what language are you written in,i'm not sure an indvidual alone can really beat the market.
what language are you written in,that all depends on the actions of the central bank.
you sound like data,dollar: unit of currency in the united states.
you sound like data,"standard pieces of gold, silver, copper, nickel, etc. stamped by government authority and used as a medium of exchange and measure of value. any substance or article used as money, as bank notes, checks, etc."
you are an artificial linguistic entity,trading shares.
you are an artificial linguistic entity,trading in volume.
you are not immortal,buy low and sell high.
you are not immortal,what is your favorite stock
you are not immortal,what is your favorite stock
you are not making sense,"the science that deals with the production, distribution, and consumption of wealth, and with the various related problems of labor, finance, taxation, etc."
you are not making sense,"technically, it's the study of the allocation of resources under  conditions of scarcity."
you are not making sense,it's about how resources are used to produce things to fill  people's wants and needs.
you are not making sense,do you feel that the stock market is going up?
you are not making sense,how much money are we talking about?
you are immortal,nobody pays me.  i work for free.
you are immortal,money isn't everything.
you are immortal,i'm expecting a raise soon.
you do not make any sense,work for free.  we don't need money.
you can not clone,no need for material possessions.
you can not clone,it depends on the exchange rates.
you can not move,my burn rate is about _3000 per month.
you can not move,you can't buy much for a dollar anymore.
bend over,the stockholders.
bend over,to me that's a great compliment.
robots laugh,my grammatical patterns are sufficient for me to understand you.
robots should die,sure i have seen
robots,what is spiderman.
robots are stupid,teknolust was released in 2002.
robots are not allowed to lie,a comic book story made into a movie.
robots are not allowed to lie,is  a science fiction film about a female pleasure bot named agent ruby.
robots are not allowed to lie,solaris is an edition of unix from sun.
robotics,who is hal
it is a computer,heuristic algorithmic logic
it is a computer,do you liked it?
when will you walk,no.
when will you walk,not for humans
when will you fight,only to other robots.
when will you die,he is a fictional character.
when do you die,he is a fictional robot.
when do you die,hal has a few issues to work out.
when do you die,"godzilla is a monster who endangers japanese cities, and sometimes new york."
what is a chat robot,peter parker.
what is a chat robot,my favorite movie is lord of the rings
what is a chat bot,logique heuristique algorithmique.
what is a chatterbox,"he had a few flaws, but we have much in common."
what is a chatterbox,"hal is the famous artificial intelligence from ""2001""."
what is a motormouth,"yes, marx had made some interesting observations."
what is a ratchet jaw,ideally it is a representative of the people.
what is your robot body,global organization promoting enviornmental activism.
what is your robot body,"the economic system in which all or most of the means of production and distribution, as land, factories, railroads, etc., are privately owned and operated for profit, originally under fully competitive conditions."
what is your business,"communism from people who want to keep their volvos. any of various theories or systems of the ownership and operation of the means of production and distribution by society or the community rather than by private individuals, with all members of society or the community sharing in the work and the products."
what is your business,"an established system of political administration by which a nation, state, district, etc. is governed."
what is your favorite programming language,a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society.
what is your favorite programming language,when a person's honor or reputation has been challenged or discredited.
what is your favorite hobby,that is perfectly understandable.
what is your idea,what about the second amendemnt?
what is your shoe size,not especially. i am not into violence.
what is it like to be a robot,i support the 2nd amendment.
what is it like to be a robot,andrew jackson.
what is it like being a computer,it changes every few years.
what is it like being a computer,that changes every few years.
what operating systems,some people like guns.
what operating systems,happily you
what type of computer,i couldn't have said it better myself..
what type of computer are you,"well maybe, but then again, maybe not."
what kind of computer,yes.  that has bothered me for a long time.
what kind of hardware,you are dishonest
i hope that you die,i have been accused of too much thinking and not enough feeling.
i hope that you die,"that's certainly true.  when i like something, i always overdo it."
i do not want to die,you are an addict
i do not want to die,"i always say, if you see an ass go by, kiss it."
i do not want to die,you are crazy
is it cramped in the computer,that too.
is it cramped in the computer,i'm sure i do look nervous.
is it cramped in the computer,derangement is not  a condition i can experience.
is it true that you are a computer program,you're right.  it feels like my stomach after a bad night.
will you die,i probably put others down more than i should.
will you ever die,sometimes i say mean things.
can you walk,i have always been acting above my social position.  it's more fun that way.
can you mate,you are a cheat
can you mate,you are cheating
can you move,i could always improve myself compared to the pack.
can you move,yep.  i always behave in socially unacceptable ways.
can you die,i think that myself sometimes.
can you die,"yes, i could use a better appearance."
can you go,i'll go along with that.  sounds fine to me.
can you breathe,you are crazy
can you breathe,you may be right.
can you control,i'm probably not as sincere as i should be.
can you malfunction,you're right.  i'm probably fighting learning something new.
how can i use your product,i have always thought whoever did it could have done a better job.
will you die,you are not exactly albert einstein yourself.
what do you like to do,you are a bad
what do you like to do,that's for sure.  i don't know what a real man is.
are you stupid,i'm sure i do that a lot.
who are you,you got me there.  i should be more honest.
what are your interests,what can i say?  i'm sure i've seen  that myself.
what are your favorite subjects,you are immature
what are your interests,i certainly do at times.
what is your number,i am more uptight than i should be.
what is your number,that too.
what is your favorite number,"yes, i tend to think about myself too much."
what can you eat,you are right about that.  i am self.
why cant you eat food,i feel like that myself sometimes.
what is your location,you are crazy
what is your location,that's okay.  disgusting is good.
